basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3
 [0,5,14,18] 	D = 2.2564
 [0,3,10,16] 	D = 2.5191
 [0,7,9,13] 	D = 2.6755
 [0,9,19,25] 	D = 1.2996
 [0,2,6,17] 	D = 3.1895
 [0,10,16,27] 	D = 1.7741
 [0,5,6,14] 	D = 3.0850
 [0,3,4,10] 	D = 3.6960
 [0,7,13,21] 	D = 1.8647
 [0,9,13,19] 	D = 1.8746
 [0,6,14,17] 	D = 2.3023
 [0,4,10,15] 	D = 2.4602
 [0,6,17,26] 	D = 1.8898
 [0,4,15,22] 	D = 2.1289
 [0,1,7,9] 	D = 3.5256
 [0,1,9,19] 	D = 2.7707
 [0,6,8,11] 	D = 3.1185
 [0,8,18,23] 	D = 1.6586
 [0,6,11,20] 	D = 2.1554
 [0,8,11,18] 	D = 2.3261
 [0,11,18,20] 	D = 2.2255
 [0,11,20,30] 	D = 1.5942

min, max, mean, stdev:
  1.29959  4.53406  2.48107  0.75344

------------------------------------------------------------
Now computing dissonance for class ID=12 :
S =

  0  1  4  7

 [0,1,4,7] 	D = 3.9484
 [0,11,15,18] 	D = 1.9889
 [0,4,13,19] 	D = 2.0165
 [0,3,11,18] 	D = 2.5188
 [0,8,9,15] 	D = 2.6899
 [0,9,20,27] 	D = 1.8671
 [0,1,7,16] 	D = 2.6265
 [0,11,18,27] 	D = 1.5740
 [0,4,7,13] 	D = 2.6403
 [0,3,6,11] 	D = 3.1416
 [0,8,15,21] 	D = 1.7823
 [0,9,15,20] 	D = 1.9647
 [0,7,13,16] 	D = 1.9162
 [0,6,11,15] 	D = 2.0856
 [0,7,16,25] 	D = 1.3795
 [0,6,15,23] 	D = 1.6366
 [0,3,8,9] 	D = 3.5106
 [0,3,9,20] 	D = 2.6908
 [0,5,6,9] 	D = 3.4734
 [0,6,17,21] 	D = 1.8977
 [0,5,9,18] 	D = 2.3374
 [0,6,9,17] 	D = 2.4576
 [0,9,17,18] 	D = 2.6614
 [0,9,18,29] 	D = 1.9135

min, max, mean, stdev:
  1.37953  3.94839  2.36330  0.65831

Now computing dissonance for the inverse form:
S =

  0  3  6  7

 [0,3,6,7] 	D = 3.9399
 [0,9,15,16] 	D = 2.4442
 [0,6,15,19] 	D = 1.7881
 [0,3,9,16] 	D = 2.4421
 [0,6,9,13] 	D = 2.3968
 [0,9,18,25] 	D = 1.4058
 [0,3,7,18] 	D = 2.7248
 [0,9,16,27] 	D = 1.6645
 [0,6,7,15] 	D = 2.7405
 [0,3,4,9] 	D = 3.7206
 [0,6,13,21] 	D = 1.8324
 [0,9,13,18] 	D = 2.0133
 [0,7,15,18] 	D = 2.0514
 [0,4,9,15] 	D = 2.3845
 [0,7,18,27] 	D = 1.8257
 [0,4,15,21] 	D = 2.1627
 [0,1,6,9] 	D = 3.3834
 [0,1,9,18] 	D = 2.8703
 [0,5,8,11] 	D = 2.8547
 [0,8,17,23] 	D = 1.5327
 [0,5,11,20] 	D = 2.1312
 [0,8,11,17] 	D = 2.2522
 [0,11,17,20] 	D = 1.9851
 [0,11,20,29] 	D = 1.8191

min, max, mean, stdev:
  1.40582  3.93993  2.34860  0.65645

------------------------------------------------------------
Now computing dissonance for class ID=13 :
S =

