"Lower","Upper","Triadic HE","ct","pmax","triad"
160,540,1.16213595021801,6,0.634541349610684,"10/11/15"
250,890,1.16288188867364,4,0.54479343486087,"13/15/25"
330,600,1.16310591162052,4,0.439291421622005,"10/12/17"
670,60,1.1632926476566,6,0.596620060079345,"15/22/23"
340,290,1.16408056356799,5,0.542396148368855,"9/11/13"
640,660,1.16594614949226,6,0.671428523520773,"9/13/19"
880,660,1.16609498395745,5,0.575552214030856,"9/15/22"
1000,700,1.16613329557772,5,0.591757496563096,"9/16/24"
580,160,1.16628077234892,5,0.587758869276531,"15/21/23"
200,950,1.16685562270024,7,0.625526766109962,"16/18/31"
710,60,1.16779077260421,5,0.512055113617012,"16/24/25"
310,190,1.16856300825063,5,0.638541147703332,"15/18/20"
840,1130,1.16913467838371,6,0.636370866502599,"8/13/25"
420,610,1.17033483697748,7,0.548951104191396,"11/14/20"
940,1120,1.17166131991908,7,0.56108445287654,"7/12/23"
160,790,1.17210283015661,8,0.71598492414268,"11/12/19"
950,540,1.17258425364822,5,0.503770526010082,"11/19/26"
790,60,1.17408684070846,5,0.658514003706999,"14/22/23"
160,290,1.17437984977246,8,0.679944719336369,"10/11/13"
280,990,1.17462694058541,5,0.498764565182445,"11/13/23"
550,850,1.17554861072635,5,0.643835361033621,"8/11/18"
990,470,1.17683078327441,5,0.540480390467749,"9/16/21"
1010,140,1.17721279792387,8,0.568483853582771,"14/25/27"
580,570,1.1785954230154,6,0.512600222268302,"15/21/29"
70,510,1.17898107037312,5,0.585836123680665,"17/18/24"
310,1010,1.1800547845858,6,0.646727157771955,"15/18/32"
350,750,1.18076553860709,6,0.682408738785776,"9/11/17"
70,580,1.18194860014483,5,0.597026165823023,"17/18/25"
700,1150,1.18243745887442,3,0.410063523567123,"10/15/29"
440,570,1.18442696157839,6,0.44486127438818,"10/13/18"
920,850,1.18446183939245,5,0.621052171555582,"10/17/28"
590,290,1.18663710626096,5,0.479807034534462,"12/17/20"
660,670,1.18708346727701,6,0.661660650899089,"13/19/28"
310,940,1.18990099765903,6,0.616805242070094,"15/18/31"
150,460,1.19012872554299,7,0.677025811935429,"12/13/17"
500,1130,1.19047225862354,5,0.566076037713241,"9/12/23"
1000,300,1.19087929523585,6,0.681168668425551,"9/16/19"
800,340,1.19100808039042,6,0.523495545961771,"12/19/23"
500,600,1.19140189520565,6,0.636135660831078,"9/12/17"
650,740,1.1914114364427,5,0.469275838988448,"9/13/20"
650,1150,1.19152236849795,3,0.485740079480018,"11/16/31"
280,1140,1.19204226956569,5,0.513470919662784,"11/13/25"
530,910,1.19264966881407,4,0.580965850702312,"14/19/32"
920,980,1.19344830789966,4,0.423728429969303,"7/12/21"
790,360,1.19359012411795,6,0.64074049671933,"14/22/27"
490,140,1.19374150319757,7,0.644665870953055,"9/12/13"
340,420,1.19496942501308,5,0.645681729167648,"9/11/14"
1020,570,1.19529470296667,5,0.635969117175726,"10/18/25"
750,670,1.19596005827304,6,0.646461156744031,"11/17/25"
970,740,1.19737361649121,7,0.656151168142405,"12/21/32"
490,1150,1.19793352272926,4,0.543145394861595,"12/16/31"
440,700,1.20037668621035,5,0.567287660503796,"14/18/27"
1150,760,1.20041092328509,5,0.553784911565907,"12/23/36"
840,130,1.20093574708558,6,0.664466518539198,"8/13/14"
850,1100,1.20094970345571,7,0.656061991262544,"11/18/34"
790,180,1.20155096280642,8,0.689848165348416,"12/19/21"
150,140,1.20184340892728,5,0.557572552494584,"11/12/13"
570,1150,1.20218698863199,6,0.448273109343815,"13/18/35"
810,390,1.20261072669023,5,0.614336940507119,"5/8/10"
250,660,1.2026401005399,6,0.675133580844863,"13/15/22"
500,650,1.20276238423611,5,0.585787764416533,"15/20/29"
1000,960,1.20304160036085,7,0.573116534359463,"9/16/28"
960,830,1.20332764491682,6,0.476093059395012,"12/21/34"
470,930,1.20389206027114,5,0.612925064661969,"13/17/29"
660,850,1.20443828833713,7,0.548232882892434,"13/19/31"
1050,850,1.20496325245899,5,0.572066244632581,"6/11/18"
380,660,1.20531234527802,7,0.568393561298945,"12/15/22"
880,1070,1.20739697507291,5,0.447778404172077,"12/20/37"
830,310,1.20837231083927,5,0.593152796350901,"13/21/25"
410,250,1.20886570871798,5,0.489307369336511,"15/19/22"
820,60,1.20999676171464,5,0.592287611299347,"15/24/25"
1140,360,1.21039565076145,5,0.63383696783055,"11/21/26"
650,300,1.2114135963568,6,0.527367584435127,"11/16/19"
770,230,1.21170436916486,4,0.533705892629856,"9/14/16"
880,210,1.21259901381993,7,0.628919797409043,"9/15/17"
420,230,1.21282913264064,5,0.618881389384682,"11/14/16"
500,260,1.2128947061,7,0.628577035505726,"9/12/14"
290,470,1.21313137857663,6,0.524855052854574,"11/13/17"
660,160,1.21400677661041,6,0.446236955534677,"15/22/24"
970,340,1.21413161037409,7,0.629489058310627,"8/14/17"
530,60,1.21494036148135,5,0.603485149481444,"17/23/24"
870,280,1.21540764322448,5,0.606398979995627,"14/23/27"
1030,240,1.2157461516829,5,0.534205711133129,"11/20/23"
1090,410,1.21714979352975,7,0.626238184653913,"8/15/19"
490,920,1.21769185749293,6,0.594368428461814,"12/16/27"
490,760,1.21777044210424,6,0.521055670098809,"15/20/31"
910,540,1.21929866532928,6,0.465378795188269,"13/22/30"
480,60,1.22195480262347,5,0.616710086249404,"16/21/22"
1020,260,1.22228923299208,5,0.548564545881819,"10/18/21"
1070,360,1.22235181637809,8,0.665083036954572,"7/13/16"
660,1010,1.22317897586328,6,0.529368534146689,"13/19/34"
460,740,1.22387445208774,4,0.435824284524234,"10/13/20"
930,1200,1.22389462715974,4,0.504830354099119,"7/12/24"
580,940,1.22416387356532,5,0.614864944427354,"5/7/12"
830,430,1.22433845687654,6,0.567020965805348,"13/21/27"
810,10,1.22535667420781,6,0.618015770614039,"5/8/8"
360,980,1.22547053900773,5,0.56659479204276,"13/16/28"
1070,1140,1.22744595845943,7,0.593401738401985,"7/13/25"
470,1030,1.22767413139927,5,0.599211118388845,"13/17/31"
470,440,1.22891526845292,5,0.414890472541222,"13/17/22"
930,1050,1.22925668349813,6,0.595728476542611,"7/12/22"
530,260,1.22960601966909,8,0.656360669322731,"14/19/22"
1080,590,1.22962095006159,7,0.640507092676777,"8/15/21"
320,340,1.2302224268969,7,0.631040601935746,"15/18/22"
840,740,1.23034220888828,7,0.620805025013808,"8/13/20"
430,270,1.23040221022319,7,0.591940592641219,"14/18/21"
640,350,1.23151092162805,6,0.586937457869233,"9/13/16"
560,60,1.23231848561259,6,0.632111153900299,"16/22/23"
540,810,1.23299092560881,8,0.67727604120227,"11/15/24"
540,610,1.23371787109345,9,0.654585927936997,"14/19/27"
140,220,1.23522541072385,5,0.566909120593795,"13/14/16"
880,1150,1.23817193652466,5,0.493144890650764,"9/15/29"
70,650,1.23927539332097,6,0.616086299760767,"17/18/26"
580,0,1.24196451600758,6,0.622525629248736,"5/7/7"
610,970,1.24213391893898,6,0.435974044037265,"14/20/35"
580,710,1.24372118384545,7,0.632857717358423,"10/14/21"
610,870,1.24526492145333,6,0.435704909083823,"14/20/33"
980,690,1.24586819504211,6,0.591337063499668,"8/14/21"
600,1150,1.24598952789653,6,0.630254317580284,"12/17/33"
430,60,1.24674405641027,5,0.5800087959001,"18/23/24"
940,600,1.24682064359937,6,0.546052289470679,"7/12/17"
560,350,1.24765542577946,4,0.425741356384283,"13/18/22"
920,660,1.24815628682979,7,0.59023490857466,"10/17/25"
150,270,1.24853045106702,9,0.673798541623018,"11/12/14"
780,950,1.24901330000402,6,0.63091449166802,"7/11/19"
460,800,1.24943636526068,6,0.612695061456326,"13/17/27"
580,860,1.25001076327468,6,0.611044424435429,"10/14/23"
530,730,1.25062331871112,6,0.477557787139457,"14/19/29"
460,830,1.25291632475826,8,0.667392110522444,"10/13/21"
180,1010,1.25359123139146,5,0.505456287346113,"9/10/18"
650,200,1.25477232931069,6,0.588801827158297,"11/16/18"
1000,840,1.25598762247931,6,0.535754622991546,"9/16/26"
570,20,1.25618462840879,6,0.621218016599935,"5/7/7"
920,1150,1.25709209183584,7,0.540293812460473,"10/17/33"
